Year,Age,Female,Male,Total
1891,79,0.084056,0.140423,0.103570
1891,80,0.105114,0.133936,0.116049
1891,81,0.115204,0.139171,0.124151
1891,82,0.127507,0.150100,0.135821
1891,83,0.141547,0.161316,0.148718
1891,84,0.148360,0.175493,0.158047
1891,85,0.162532,0.157464,0.160735
1891,86,0.156417,0.172581,0.162138
1891,87,0.176723,0.199543,0.184691
1891,88,0.183727,0.191358,0.186368
1891,89,0.203198,0.213144,0.206613
1891,90,0.218078,0.238673,0.225083
1891,91,0.234565,0.236817,0.235324
1891,92,0.244785,0.252653,0.247438
1891,93,0.266089,0.245001,0.258972
1891,94,0.262766,0.255544,0.260300
1891,95,0.315860,0.353756,0.328676
1891,96,0.355000,0.359056,0.356347
1891,97,0.391426,0.396018,0.392962
1891,98,0.372567,0.451627,0.398137
1891,99,0.393071,0.433524,0.405540
1891,100,0.450599,0.443655,0.448467
1891,101,0.467381,0.537011,0.488402
1891,102,0.461674,0.631823,0.508590
1891,103,0.493010,0.632495,0.526922
1891,104,0.592451,0.774757,0.632522
1891,105,0.518340,1.209184,0.628247
1891,106,0.682274,1.500000,0.752294
1892,78,0.072143,0.119816,0.089081
1892,79,0.078513,0.124268,0.094671
1892,80,0.101130,0.128343,0.111406
1892,81,0.112257,0.139548,0.122388
1892,82,0.123218,0.152138,0.133764
1892,83,0.135739,0.150042,0.140878
1892,84,0.140189,0.164764,0.148925
1892,85,0.154788,0.171027,0.160491
1892,86,0.160592,0.181718,0.167895
1892,87,0.177048,0.206311,0.187010
1892,88,0.183108,0.207818,0.191362
1892,89,0.205027,0.215317,0.208423
1892,90,0.210203,0.225219,0.215113
1892,91,0.229618,0.245131,0.234652
1892,92,0.240266,0.269548,0.249601
1892,93,0.257894,0.244833,0.253758
1892,94,0.293744,0.281872,0.289963
1892,95,0.328478,0.337160,0.331256
1892,96,0.360538,0.370060,0.363592
1892,97,0.347511,0.414913,0.368464
1892,98,0.367186,0.399418,0.376811
1892,99,0.415750,0.409640,0.413930
1892,100,0.432609,0.483248,0.447503
1892,101,0.427246,0.537601,0.457725
1892,102,0.455155,0.511090,0.469559
1892,103,0.525900,0.552251,0.532573
1892,104,0.450875,0.598266,0.485793
1892,105,0.532670,0.800562,0.586735
1892,106,0.764706,2.058824,0.926471
1893,77,0.076306,0.112186,0.090397
1893,78,0.080639,0.116602,0.094516
1893,79,0.092455,0.124561,0.104666
1893,80,0.105086,0.133559,0.116019
1893,81,0.116447,0.144719,0.127111
1893,82,0.118633,0.152530,0.131179
1893,83,0.135871,0.142314,0.138222
1893,84,0.132520,0.167761,0.145222
1893,85,0.137654,0.173705,0.150340
1893,86,0.162293,0.175250,0.166780
1893,87,0.174727,0.198973,0.183020
1893,88,0.177942,0.190818,0.182292
1893,89,0.199422,0.219981,0.206308
1893,90,0.211047,0.214986,0.212353
1893,91,0.222565,0.230136,0.225060
1893,92,0.243600,0.288830,0.258349
1893,93,0.254706,0.258969,0.256068
1893,94,0.308105,0.283783,0.300299
1893,95,0.331897,0.346745,0.336684
1893,96,0.324001,0.383761,0.342697
1893,97,0.343249,0.372020,0.351943
1893,98,0.385186,0.384821,0.385076
1893,99,0.403273,0.448501,0.416694
1893,100,0.401106,0.487032,0.425323
1893,101,0.429540,0.463854,0.438737
1893,102,0.486978,0.491068,0.488070
1893,103,0.423003,0.508299,0.445020
1893,104,0.491858,0.594340,0.516338
1893,105,0.668478,0.939850,0.726350
1893,106,0.696644,2.138614,0.868794
1894,76,0.074645,0.108824,0.088478
1894,77,0.077418,0.111855,0.091136
1894,78,0.086785,0.118636,0.099306
1894,79,0.096393,0.130273,0.109538
1894,80,0.100937,0.127198,0.111255
1894,81,0.110896,0.137928,0.121348
1894,82,0.115421,0.139970,0.124751
1894,83,0.127987,0.140724,0.132781
1894,84,0.128112,0.167395,0.142660
1894,85,0.139028,0.163991,0.148074
1894,86,0.164996,0.181235,0.170808
1894,87,0.174150,0.185256,0.178084
1894,88,0.181566,0.195848,0.186590
1894,89,0.197336,0.210567,0.201934
1894,90,0.202033,0.236237,0.213804
1894,91,0.225188,0.233747,0.228082
1894,92,0.230578,0.267106,0.242674
1894,93,0.276372,0.297300,0.283196
1894,94,0.288870,0.266112,0.281477
1894,95,0.301308,0.356252,0.319070
1894,96,0.319827,0.348673,0.328865
1894,97,0.356080,0.364824,0.358796
1894,98,0.374696,0.422281,0.389212
1894,99,0.375612,0.453435,0.398227
1894,100,0.404194,0.440865,0.414378
1894,101,0.450570,0.472520,0.456590
1894,102,0.398779,0.493241,0.423560
1894,103,0.450671,0.556777,0.476317
1894,104,0.569910,0.789286,0.617762
1894,105,0.551804,1.289902,0.663704
1894,106,0.709850,3.000000,0.803901
1895,75,0.061254,0.091164,0.073529
1895,76,0.063935,0.094265,0.076253
1895,77,0.071726,0.100607,0.083351
1895,78,0.081253,0.112359,0.093662
1895,79,0.090495,0.111449,0.098798
1895,80,0.099136,0.121550,0.108068
1895,81,0.107653,0.137235,0.119264
1895,82,0.117491,0.130877,0.122674
1895,83,0.123304,0.143659,0.131102
1895,84,0.128753,0.160400,0.140675
1895,85,0.142756,0.165165,0.151065
1895,86,0.169043,0.200111,0.180380
1895,87,0.172229,0.189453,0.178413
1895,88,0.179228,0.203437,0.187795
1895,89,0.209731,0.198401,0.205744
1895,90,0.199250,0.235806,0.212005
1895,91,0.218108,0.254819,0.230670
1895,92,0.243686,0.254544,0.247344
1895,93,0.278503,0.317706,0.291511
1895,94,0.258219,0.278531,0.264838
1895,95,0.296414,0.323333,0.304948
1895,96,0.327518,0.340731,0.331662
1895,97,0.345926,0.389847,0.359449
1895,98,0.349103,0.410625,0.367285
1895,99,0.376352,0.401752,0.383612
1895,100,0.412095,0.426404,0.416153
1895,101,0.369282,0.432348,0.386643
1895,102,0.416099,0.466383,0.429290
1895,103,0.512748,0.590062,0.532353
1895,104,0.487239,0.702891,0.535835
1895,105,0.583863,0.773784,0.619539
1895,106,0.703846,1.020000,0.754839
1895,107,0.729730,1.500000,0.816781
1896,74,0.075697,0.089504,0.082304
1896,75,0.075331,0.092392,0.083254
1896,76,0.079149,0.097378,0.087349
1896,77,0.084814,0.107515,0.094682
1896,78,0.082945,0.112041,0.095119
1896,79,0.095374,0.110634,0.101638
1896,80,0.101145,0.125821,0.111017
1896,81,0.109522,0.136260,0.120045
1896,82,0.109205,0.138000,0.120368
1896,83,0.118710,0.146131,0.129148
1896,84,0.134848,0.154393,0.142172
1896,85,0.146630,0.160519,0.151775
1896,86,0.168829,0.199570,0.180066
1896,87,0.172073,0.190415,0.178673
1896,88,0.183515,0.196691,0.188208
1896,89,0.214428,0.209224,0.212576
1896,90,0.216958,0.219532,0.217873
1896,91,0.225647,0.238515,0.230191
1896,92,0.258088,0.265903,0.260833
1896,93,0.242233,0.301759,0.262753
1896,94,0.254624,0.286271,0.265129
1896,95,0.298733,0.318911,0.305366
1896,96,0.315737,0.361564,0.330479
1896,97,0.320004,0.376399,0.337458
1896,98,0.343922,0.372893,0.352616
1896,99,0.368247,0.396256,0.376525
1896,100,0.331775,0.399977,0.351218
1896,101,0.382693,0.427267,0.394806
1896,102,0.476807,0.522523,0.488965
1896,103,0.457242,0.587332,0.489432
1896,104,0.535934,0.578030,0.545509
1896,105,0.613796,0.597201,0.609950
1896,106,0.604592,1.052980,0.696211
1896,107,0.818653,3.000000,0.975962
1897,73,0.056908,0.079405,0.067007
1897,74,0.058691,0.083876,0.069758
1897,75,0.062609,0.088983,0.073932
1897,76,0.068988,0.098635,0.081397
1897,77,0.072775,0.098943,0.083435
1897,78,0.076802,0.108223,0.089391
1897,79,0.089070,0.119263,0.100977
1897,80,0.096199,0.119880,0.105554
1897,81,0.102523,0.130957,0.113591
1897,82,0.107958,0.142721,0.121213
1897,83,0.120090,0.154688,0.133008
1897,84,0.131903,0.149739,0.138448
1897,85,0.154445,0.162875,0.157514
1897,86,0.162421,0.188791,0.171918
1897,87,0.171143,0.193466,0.179060
1897,88,0.187901,0.204710,0.193784
1897,89,0.199156,0.228664,0.209334
1897,90,0.219700,0.236458,0.225382
1897,91,0.227122,0.241626,0.231994
1897,92,0.246966,0.252062,0.248662
1897,93,0.234046,0.298435,0.255039
1897,94,0.260527,0.268914,0.263197
1897,95,0.295496,0.336853,0.308439
1897,96,0.303838,0.348277,0.317293
1897,97,0.330236,0.350778,0.336316
1897,98,0.354447,0.376390,0.360866
1897,99,0.331773,0.382820,0.346297
1897,100,0.371874,0.407264,0.381589
1897,101,0.443235,0.489014,0.455543
1897,102,0.430129,0.547036,0.459563
1897,103,0.496225,0.540690,0.506594
1897,104,0.549541,0.547170,0.548983
1897,105,0.528039,0.890769,0.604268
1897,106,0.651594,2.320000,0.818546
1898,72,0.043833,0.067684,0.054223
1898,73,0.046207,0.071513,0.057129
1898,74,0.049403,0.075081,0.060375
1898,75,0.054742,0.080798,0.065767
1898,76,0.061058,0.085078,0.071127
1898,77,0.063908,0.084958,0.072583
1898,78,0.068610,0.096256,0.079914
1898,79,0.079235,0.100908,0.087963
1898,80,0.092771,0.117534,0.102664
1898,81,0.096152,0.128902,0.109003
1898,82,0.112368,0.143630,0.124402
1898,83,0.118600,0.148912,0.130039
1898,84,0.133748,0.155634,0.141880
1898,85,0.144968,0.160328,0.150605
1898,86,0.152637,0.177199,0.161530
1898,87,0.171380,0.197543,0.180701
1898,88,0.178721,0.205513,0.188109
1898,89,0.194889,0.235188,0.208703
1898,90,0.206975,0.226083,0.213389
1898,91,0.222555,0.241672,0.228883
1898,92,0.237398,0.246169,0.240279
1898,93,0.256031,0.303149,0.271212
1898,94,0.272017,0.273705,0.272549
1898,95,0.291711,0.321804,0.301124
1898,96,0.321704,0.329091,0.323987
1898,97,0.348651,0.355975,0.350908
1898,98,0.341364,0.364025,0.348262
1898,99,0.313696,0.409309,0.341896
1898,100,0.411948,0.444572,0.421038
1898,101,0.404439,0.486038,0.426147
1898,102,0.460757,0.467775,0.462541
1898,103,0.497924,0.450545,0.485463
1898,104,0.476061,0.624467,0.514006
1898,105,0.559788,0.834437,0.617549
1898,106,0.606914,0.854599,0.650869
1898,107,0.695388,2.064516,0.834242
1899,71,0.044916,0.072139,0.056849
1899,72,0.047937,0.075687,0.060080
1899,73,0.050962,0.078516,0.062999
1899,74,0.055887,0.081893,0.067247
1899,75,0.061632,0.084545,0.071657
1899,76,0.069319,0.089096,0.077875
1899,77,0.072275,0.096271,0.082530
1899,78,0.074987,0.104914,0.087623
1899,79,0.083155,0.110339,0.094473
1899,80,0.088530,0.117058,0.100250
1899,81,0.100854,0.125565,0.110842
1899,82,0.104678,0.138530,0.118133
1899,83,0.117885,0.149667,0.130274
1899,84,0.129781,0.153454,0.138843
1899,85,0.136350,0.161399,0.145801
1899,86,0.152274,0.180868,0.162887
1899,87,0.165138,0.198493,0.177278
1899,88,0.180566,0.213032,0.192121
1899,89,0.197419,0.227056,0.207740
1899,90,0.203091,0.230800,0.212581
1899,91,0.224900,0.232891,0.227600
1899,92,0.239423,0.260274,0.246407
1899,93,0.255740,0.279560,0.263586
1899,94,0.283300,0.311960,0.292651
1899,95,0.310959,0.312123,0.311331
1899,96,0.339291,0.341860,0.340112
1899,97,0.345194,0.354003,0.347994
1899,98,0.367656,0.366124,0.367171
1899,99,0.361992,0.436321,0.384890
1899,100,0.382237,0.443277,0.400314
1899,101,0.431992,0.425030,0.429990
1899,102,0.461579,0.403387,0.444194
1899,103,0.446419,0.523323,0.469339
1899,104,0.517104,0.602106,0.540385
1899,105,0.548461,0.495030,0.533682
1899,106,0.596386,0.583477,0.592771
1899,107,0.713725,0.812709,0.741541
1899,108,0.919075,2.071429,1.144186
1900,70,0.039213,0.059624,0.048713
1900,71,0.042289,0.063227,0.051954
1900,72,0.044671,0.066345,0.054588
1900,73,0.048167,0.069131,0.057679
1900,74,0.050802,0.071876,0.060287
1900,75,0.056062,0.074598,0.064277
1900,76,0.064014,0.082925,0.072337
1900,77,0.063869,0.087948,0.074281
1900,78,0.074934,0.090521,0.081594
1900,79,0.074389,0.104729,0.087165
1900,80,0.088458,0.112919,0.098551
1900,81,0.104394,0.123542,0.112196
1900,82,0.109616,0.131856,0.118557
1900,83,0.119015,0.145158,0.129378
1900,84,0.123963,0.142570,0.131245
1900,85,0.139859,0.165999,0.149950
1900,86,0.151100,0.180844,0.162384
1900,87,0.167021,0.196942,0.178157
1900,88,0.176569,0.224535,0.194044
1900,89,0.194460,0.217833,0.202763
1900,90,0.209353,0.224425,0.214624
1900,91,0.223288,0.241233,0.229520
1900,92,0.236813,0.264084,0.246133
1900,93,0.238292,0.252984,0.243240
1900,94,0.275823,0.316890,0.289328
1900,95,0.298787,0.328992,0.308548
1900,96,0.303297,0.345289,0.316520
1900,97,0.295005,0.344350,0.310068
1900,98,0.325491,0.413053,0.351131
1900,99,0.399803,0.389681,0.396980
1900,100,0.403196,0.400839,0.402533
1900,101,0.426473,0.382562,0.413751
1900,102,0.417260,0.483218,0.436271
1900,103,0.476556,0.538178,0.493147
1900,104,0.496939,0.446146,0.483075
1900,105,0.518894,0.495611,0.512422
1900,106,0.570048,0.610656,0.581503
1900,107,0.620890,0.949704,0.701895
1900,108,0.754386,2.103448,0.950000
1901,69,0.035985,0.056198,0.045554
1901,70,0.039380,0.059893,0.048978
1901,71,0.041685,0.063440,0.051739
1901,72,0.044374,0.066092,0.054288
1901,73,0.049049,0.067965,0.057580
1901,74,0.052149,0.073924,0.061963
1901,75,0.056923,0.079520,0.066914
1901,76,0.062499,0.083577,0.071740
1901,77,0.065628,0.087777,0.075207
1901,78,0.077026,0.094465,0.084444
1901,79,0.077615,0.102403,0.088062
1901,80,0.089714,0.110311,0.098234
1901,81,0.099439,0.122190,0.108735
1901,82,0.112422,0.134393,0.121286
1901,83,0.115295,0.137777,0.124240
1901,84,0.124396,0.153064,0.135630
1901,85,0.135624,0.160230,0.145097
1901,86,0.161326,0.184100,0.169965
1901,87,0.169518,0.193474,0.178480
1901,88,0.173525,0.221801,0.191151
1901,89,0.184298,0.216524,0.195781
1901,90,0.207323,0.217879,0.211035
1901,91,0.212552,0.250418,0.225622
1901,92,0.218338,0.258671,0.231901
1901,93,0.248918,0.267437,0.255009
1901,94,0.278437,0.299612,0.285341
1901,95,0.286593,0.317580,0.296480
1901,96,0.300463,0.317739,0.305876
1901,97,0.292648,0.327490,0.303382
1901,98,0.299989,0.406657,0.331337
1901,99,0.386140,0.389017,0.386956
1901,100,0.396140,0.362526,0.386573
1901,101,0.393454,0.447178,0.408660
1901,102,0.447435,0.487518,0.458204
1901,103,0.465425,0.407869,0.449642
1901,104,0.482280,0.436280,0.469277
1901,105,0.517215,0.501211,0.512520
1901,106,0.546848,0.651466,0.576323
1901,107,0.613900,0.786996,0.658242
1901,108,0.748879,1.118644,0.826241
1901,109,1.294355,1.500000,1.331126
1902,68,0.030517,0.048724,0.039281
1902,69,0.034072,0.051853,0.042578
1902,70,0.036904,0.055426,0.045710
1902,71,0.039474,0.057896,0.048178
1902,72,0.041087,0.061932,0.050872
1902,73,0.046188,0.061546,0.053338
1902,74,0.052345,0.070884,0.060800
1902,75,0.055162,0.074850,0.064074
1902,76,0.057942,0.076371,0.066167
1902,77,0.064652,0.082069,0.072360
1902,78,0.070205,0.087698,0.077845
1902,79,0.074466,0.096046,0.083793
1902,80,0.089520,0.111483,0.098817
1902,81,0.093713,0.118556,0.104084
1902,82,0.105596,0.134537,0.117487
1902,83,0.116834,0.141792,0.126925
1902,84,0.125900,0.150815,0.135816
1902,85,0.138408,0.158633,0.146357
1902,86,0.159839,0.179552,0.167495
1902,87,0.163526,0.186936,0.172494
1902,88,0.165048,0.201638,0.178827
1902,89,0.181051,0.210507,0.191901
1902,90,0.205853,0.220948,0.211318
1902,91,0.209137,0.250574,0.223895
1902,92,0.219775,0.271376,0.237615
1902,93,0.247422,0.264552,0.253198
1902,94,0.252536,0.288830,0.264522
1902,95,0.278052,0.297783,0.284432
1902,96,0.287427,0.298810,0.291083
1902,97,0.299858,0.325686,0.308050
1902,98,0.318723,0.351044,0.328730
1902,99,0.354340,0.379780,0.362065
1902,100,0.370290,0.413085,0.383052
1902,101,0.419665,0.443082,0.426390
1902,102,0.436902,0.376928,0.419261
1902,103,0.450854,0.392804,0.433152
1902,104,0.474899,0.431433,0.461026
1902,105,0.496831,0.511241,0.501437
1902,106,0.534792,0.517871,0.529369
1902,107,0.597006,0.503817,0.566346
1902,108,0.790668,0.640969,0.736167
1902,109,1.003096,1.190476,1.072266
1902,110,2.060241,3.000000,2.284404
1903,67,0.030479,0.048732,0.039472
1903,68,0.033863,0.051091,0.042317
1903,69,0.036800,0.054379,0.045396
1903,70,0.038845,0.056495,0.047445
1903,71,0.040301,0.055798,0.047829
1903,72,0.043652,0.063228,0.053106
1903,73,0.047572,0.063255,0.055066
1903,74,0.052343,0.068596,0.060006
1903,75,0.053991,0.073465,0.063106
1903,76,0.059974,0.078674,0.068617
1903,77,0.067236,0.085283,0.075503
1903,78,0.071071,0.085269,0.077548
1903,79,0.079406,0.100251,0.088820
1903,80,0.089574,0.109989,0.098386
1903,81,0.093542,0.118923,0.104361
1903,82,0.105264,0.136732,0.118466
1903,83,0.115263,0.144064,0.127134
1903,84,0.132400,0.147099,0.138377
1903,85,0.138098,0.166063,0.149333
1903,86,0.150752,0.176505,0.160924
1903,87,0.156939,0.178271,0.165240
1903,88,0.159575,0.205413,0.177053
1903,89,0.183790,0.207325,0.192545
1903,90,0.190592,0.210845,0.198035
1903,91,0.210136,0.243723,0.222245
1903,92,0.220522,0.289286,0.244587
1903,93,0.238155,0.277494,0.251419
1903,94,0.275374,0.287355,0.279334
1903,95,0.264904,0.272663,0.267460
1903,96,0.289869,0.291970,0.290556
1903,97,0.286268,0.344589,0.305089
1903,98,0.331363,0.361466,0.340761
1903,99,0.312847,0.341415,0.321572
1903,100,0.395049,0.412368,0.400204
1903,101,0.413211,0.360938,0.397325
1903,102,0.426881,0.373621,0.410162
1903,103,0.447751,0.405493,0.433934
1903,104,0.471890,0.468705,0.470840
1903,105,0.506448,0.468350,0.493696
1903,106,0.556762,0.440147,0.516067
1903,107,0.707317,0.521994,0.635011
1903,108,0.832653,0.770950,0.806604
1903,109,1.221818,1.150485,1.191268
1903,110,3.000000,1.500000,2.049505
1904,66,0.027303,0.042645,0.035102
1904,67,0.029901,0.044636,0.037312
1904,68,0.032383,0.047956,0.040134
1904,69,0.033683,0.050574,0.041997
1904,70,0.035576,0.052418,0.043770
1904,71,0.038633,0.055114,0.046637
1904,72,0.043477,0.060921,0.051837
1904,73,0.046242,0.063696,0.054531
1904,74,0.049930,0.068503,0.058663
1904,75,0.052863,0.072831,0.062121
1904,76,0.060934,0.077593,0.068573
1904,77,0.066231,0.082418,0.073605
1904,78,0.071467,0.090226,0.079934
1904,79,0.078034,0.100475,0.088040
1904,80,0.090868,0.109083,0.098817
1904,81,0.095816,0.119021,0.105822
1904,82,0.102941,0.137335,0.117532
1904,83,0.119713,0.147571,0.131313
1904,84,0.129575,0.151709,0.138665
1904,85,0.128381,0.162812,0.142277
1904,86,0.149515,0.176169,0.160076
1904,87,0.157459,0.183550,0.167639
1904,88,0.169653,0.207844,0.184228
1904,89,0.175647,0.201892,0.185474
1904,90,0.191197,0.221543,0.202343
1904,91,0.212958,0.234240,0.220645
1904,92,0.210081,0.263015,0.228731
1904,93,0.231155,0.272431,0.245280
1904,94,0.286830,0.289733,0.287807
1904,95,0.280686,0.296902,0.286101
1904,96,0.294406,0.303020,0.297268
1904,97,0.306771,0.366934,0.326217
1904,98,0.331133,0.320912,0.327908
1904,99,0.267687,0.315476,0.282758
1904,100,0.388178,0.343230,0.374067
1904,101,0.400659,0.353091,0.385293
1904,102,0.417808,0.378719,0.404728
1904,103,0.442603,0.428291,0.437758
1904,104,0.470557,0.421638,0.453623
1904,105,0.506750,0.387538,0.463498
1904,106,0.609533,0.432261,0.538139
1904,107,0.652931,0.558714,0.611765
1904,108,0.735260,0.600817,0.673546
1904,109,0.967213,0.796875,0.880000
1904,110,1.990099,2.134615,2.063415
1905,65,0.022943,0.036450,0.029857
1905,66,0.024746,0.037849,0.031376
1905,67,0.026770,0.040759,0.033767
1905,68,0.027727,0.043399,0.035468
1905,69,0.029945,0.043971,0.036785
1905,70,0.032396,0.048623,0.040289
1905,71,0.036023,0.054077,0.044695
1905,72,0.038828,0.055371,0.046694
1905,73,0.042209,0.062042,0.051488
1905,74,0.046618,0.063926,0.054664
1905,75,0.052441,0.066696,0.059008
1905,76,0.058528,0.074871,0.065976
1905,77,0.064962,0.081783,0.072544
1905,78,0.069485,0.090158,0.078715
1905,79,0.072181,0.092466,0.081152
1905,80,0.091314,0.112813,0.100621
1905,81,0.096651,0.120106,0.106676
1905,82,0.103988,0.137050,0.117891
1905,83,0.117563,0.139986,0.126839
1905,84,0.121717,0.150970,0.133639
1905,85,0.127842,0.154930,0.138689
1905,86,0.148039,0.171072,0.157127
1905,87,0.152632,0.179617,0.163100
1905,88,0.177647,0.193475,0.183697
1905,89,0.171001,0.202986,0.183072
1905,90,0.197418,0.230620,0.209703
1905,91,0.220557,0.229963,0.223982
1905,92,0.208494,0.245452,0.221793
1905,93,0.242966,0.265475,0.250891
1905,94,0.249306,0.274474,0.258061
1905,95,0.292108,0.286610,0.290216
1905,96,0.287915,0.318384,0.298343
1905,97,0.286060,0.317053,0.296459
1905,98,0.331243,0.290601,0.317567
1905,99,0.301334,0.329673,0.310881
1905,100,0.376126,0.337352,0.363065
1905,101,0.391212,0.360518,0.380586
1905,102,0.417572,0.403915,0.412799
1905,103,0.443351,0.399340,0.427661
1905,104,0.472793,0.369419,0.434406
1905,105,0.556527,0.408841,0.496657
1905,106,0.581616,0.512596,0.551746
1905,107,0.622843,0.537060,0.584503
1905,108,0.714573,0.674419,0.695469
1905,109,0.913907,1.291908,1.077597
1905,110,2.139130,3.000000,2.381250
1906,64,0.021570,0.034590,0.028289
1906,65,0.022915,0.035516,0.029363
1906,66,0.024801,0.038156,0.031579
1906,67,0.025857,0.040887,0.033415
1906,68,0.026809,0.042261,0.034504
1906,69,0.031238,0.044615,0.037875
1906,70,0.032113,0.049920,0.040852
1906,71,0.035878,0.052881,0.044140
1906,72,0.038383,0.056325,0.047032
1906,73,0.043300,0.062392,0.052423
1906,74,0.047406,0.063808,0.055182
1906,75,0.053456,0.066499,0.059572
1906,76,0.058413,0.077585,0.067328
1906,77,0.065064,0.086345,0.074814
1906,78,0.069640,0.089193,0.078516
1906,79,0.074862,0.093699,0.083251
1906,80,0.087900,0.110895,0.097849
1906,81,0.100217,0.125966,0.111204
1906,82,0.106012,0.133125,0.117399
1906,83,0.110402,0.132139,0.119406
1906,84,0.118844,0.143693,0.128993
1906,85,0.128921,0.155908,0.139786
1906,86,0.143083,0.166541,0.152365
1906,87,0.143433,0.169546,0.153610
1906,88,0.175054,0.193603,0.182195
1906,89,0.172447,0.198689,0.182385
1906,90,0.193239,0.224827,0.204985
1906,91,0.215770,0.236710,0.223448
1906,92,0.217697,0.255288,0.231179
1906,93,0.250837,0.255480,0.252478
1906,94,0.246141,0.269421,0.254288
1906,95,0.259914,0.256123,0.258593
1906,96,0.298744,0.291397,0.296187
1906,97,0.279660,0.296768,0.285621
1906,98,0.312744,0.307872,0.311052
1906,99,0.314341,0.320297,0.316408
1906,100,0.365903,0.341735,0.357441
1906,101,0.393523,0.379713,0.388647
1906,102,0.417675,0.376969,0.403035
1906,103,0.443005,0.350561,0.408502
1906,104,0.513680,0.384395,0.461562
1906,105,0.532951,0.470317,0.506196
1906,106,0.558656,0.481168,0.524534
1906,107,0.616180,0.577042,0.597980
1906,108,0.713051,0.917492,0.803001
1906,109,1.020619,1.402062,1.163660
1906,110,2.100000,3.000000,2.303226
1907,63,0.019781,0.030649,0.025546
1907,64,0.020710,0.031342,0.026299
1907,65,0.022178,0.033623,0.028141
1907,66,0.023264,0.036364,0.030021
1907,67,0.024536,0.038793,0.031812
1907,68,0.026722,0.039897,0.033395
1907,69,0.030317,0.045570,0.037993
1907,70,0.032459,0.047642,0.040025
1907,71,0.034950,0.050209,0.042486
1907,72,0.037570,0.054800,0.046041
1907,73,0.042780,0.060457,0.051302
1907,74,0.047445,0.064798,0.055795
1907,75,0.052113,0.067738,0.059525
1907,76,0.057269,0.074360,0.065286
1907,77,0.060991,0.082217,0.070896
1907,78,0.069955,0.088149,0.078363
1907,79,0.075560,0.090287,0.082258
1907,80,0.088073,0.109963,0.097622
1907,81,0.097593,0.120786,0.107582
1907,82,0.101597,0.121843,0.110211
1907,83,0.106210,0.133741,0.117772
1907,84,0.124516,0.142318,0.131887
1907,85,0.128867,0.155802,0.139859
1907,86,0.137004,0.156611,0.144892
1907,87,0.149220,0.174105,0.159105
1907,88,0.164413,0.205525,0.180432
1907,89,0.175520,0.198272,0.184202
1907,90,0.200449,0.221025,0.208193
1907,91,0.201488,0.250793,0.219669
1907,92,0.216292,0.251958,0.229084
1907,93,0.240089,0.241600,0.240624
1907,94,0.242504,0.267639,0.251347
1907,95,0.261584,0.253758,0.258863
1907,96,0.284935,0.262255,0.276937
1907,97,0.326060,0.338056,0.330304
1907,98,0.299023,0.295450,0.297765
1907,99,0.302036,0.263230,0.288251
1907,100,0.369205,0.358502,0.365327
1907,101,0.391797,0.358606,0.379594
1907,102,0.413491,0.337080,0.384540
1907,103,0.473385,0.368478,0.431057
1907,104,0.490053,0.445493,0.471240
1907,105,0.506453,0.456443,0.484927
1907,106,0.548552,0.547877,0.548252
1907,107,0.605689,0.843434,0.703918
1907,108,0.728337,1.181538,0.880891
1907,109,0.843911,2.320313,1.109705
1908,62,0.018324,0.030435,0.024622
1908,63,0.018965,0.030725,0.025049
1908,64,0.019905,0.032257,0.026265
1908,65,0.020956,0.034569,0.027928
1908,66,0.021643,0.037038,0.029482
1908,67,0.024279,0.039921,0.032199
1908,68,0.027999,0.041172,0.034617
1908,69,0.029363,0.044824,0.037042
1908,70,0.032356,0.046891,0.039537
1908,71,0.034508,0.050770,0.042511
1908,72,0.037773,0.054943,0.046093
1908,73,0.043410,0.058882,0.050839
1908,74,0.048173,0.065952,0.056663
1908,75,0.051943,0.068560,0.059812
1908,76,0.056564,0.074323,0.064858
1908,77,0.059899,0.083879,0.070999
1908,78,0.068497,0.089963,0.078309
1908,79,0.075373,0.095211,0.084370
1908,80,0.088150,0.107305,0.096576
1908,81,0.089798,0.116489,0.101397
1908,82,0.096819,0.119143,0.106380
1908,83,0.104330,0.136288,0.117801
1908,84,0.120852,0.139137,0.128440
1908,85,0.126220,0.156002,0.138413
1908,86,0.137712,0.158527,0.146104
1908,87,0.149208,0.180182,0.161504
1908,88,0.164285,0.197548,0.177211
1908,89,0.170606,0.195323,0.180054
1908,90,0.199188,0.210272,0.203373
1908,91,0.200000,0.230153,0.211232
1908,92,0.206926,0.245966,0.221193
1908,93,0.234318,0.246742,0.238783
1908,94,0.232797,0.270892,0.246237
1908,95,0.272605,0.268740,0.271255
1908,96,0.260938,0.246544,0.255906
1908,97,0.314578,0.335123,0.321767
1908,98,0.300948,0.291631,0.297704
1908,99,0.329251,0.257214,0.303510
1908,100,0.367547,0.338807,0.356901
1908,101,0.387036,0.321122,0.361976
1908,102,0.439657,0.349527,0.403496
1908,103,0.457762,0.415575,0.440143
1908,104,0.474154,0.424589,0.453038
1908,105,0.517973,0.503803,0.511729
1908,106,0.576541,0.730331,0.641213
1908,107,0.674619,0.896104,0.757872
1908,108,0.765700,0.969072,0.830592
1908,109,1.041176,1.174528,1.080332
1908,110,2.217391,3.000000,2.375000
1909,61,0.015373,0.025112,0.020552
1909,62,0.016107,0.025765,0.021222
1909,63,0.016867,0.027122,0.022276
1909,64,0.018029,0.029304,0.023949
1909,65,0.020057,0.031013,0.025782
